distro,rolling_release,fixed_release,based_on_debian,based_on_arch,based_on_rhel,independent_base,uses_systemd,uses_apt,uses_pacman,uses_rpm,gnome_default,kde_default,xfce_default,no_default_desktop,lightweight_low_resource,beginner_friendly,security_privacy_focused,gaming_focused,server_enterprise_focused,immutable_filesystem,commercial_backing,gui_installer_friendly,terminal_first_experience,released_before_2010,released_after_2015,uses_sysvinit_or_openrc_or_runit,minimalist_by_design,developer_focused,good_for_old_hardware,suitable_for_servers_no_gui,would_you_compile_your_own_kernel_for_fun,do_you_enjoy_reading_man_pages,do_you_cry_when_updates_break_your_desktop,would_you_survive_without_a_mouse,do_you_own_a_mechanical_keyboard,do_you_have_strong_opinions_about_init_systems,would_you_name_your_pet_after_a_linux_kernel_version,do_you_distro_hop_often,would_you_trust_this_os_on_your_grandmas_laptop,do_you_like_customizing_your_desktop_for_hours,would_you_use_this_to_hack_the_planet,do_you_believe_less_is_more,would_you_recommend_this_to_your_boss,do_you_get_excited_about_new_package_managers,would_this_os_survive_a_zombie_apocalypse_offline,do_you_secretly_want_to_use_arch_btw,would_you_trust_it_to_run_a_nuclear_reactor,do_you_enjoy_breaking_things_and_fixing_them,would_you_install_this_on_a_potato,do_you_want_your_os_to_just_work_and_stay_out_of_the_way,ubuntu_family,made_for_gaming_handhelds,declarative_configuration,privacy_live_session,upstream_of_ubuntu,cinnamon_desktop,pantheon_desktop,windows_like_desktop,centos_stream_model,rocky_enterprise_clone,almalinux_enterprise_clone,ubuntu_xfce_flavor,ubuntu_mate_flavor,mandriva_descendant,feren_kde_desktop,base_family,release_model,primary_package_manager,default_desktop_name,default_init,project_website,data_quality,as_of_date
Ubuntu,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,,0,0,1,0,1,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,debian,fixed,apt,GNOME,systemd,https://ubuntu.com/,curated; subjective columns intentionally blank,2026-09-16
MX Linux,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,,0,0,0,0,0,,0,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,debian,fixed,apt,Xfce,sysvinit,https://mxlinux.org/,curated; subjective columns intentionally blank,2026-09-16
EndeavourOS,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,,0,0,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,arch,rolling,pacman,none,systemd,https://endeavouros.com/,curated; subjective columns intentionally blank,2026-09-16
Garuda Linux,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,,0,1,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,arch,rolling,pacman,KDE Plasma,systemd,https://garudalinux.org/,curated; subjective columns intentionally blank,2026-09-16
Kali Linux,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,,1,0,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,debian,rolling,apt,Xfce,systemd,https://www.kali.org/,curated; subjective columns intentionally blank,2026-09-16
Parrot OS,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,,1,0,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,debian,fixed,apt,MATE,systemd,https://parrotsec.org/,curated; subjective columns intentionally blank,2026-09-16
Gentoo,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,independent,rolling,portage,none,openrc,https://www.gentoo.org/,curated; subjective columns intentionally blank,2026-09-16
Slackware,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,independent,fixed,pkgtools,KDE Plasma,sysvinit,https://www.slackware.com/,curated; subjective columns intentionally blank,2026-09-16
CentOS Stream,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,,0,0,1,0,1,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,rhel,continuous,dnf,GNOME,systemd,https://www.centos.org/centos-stream/,curated; subjective columns intentionally blank,2026-09-16
Rocky Linux,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,,0,0,1,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,rhel,fixed,dnf,GNOME,systemd,https://rockylinux.org/,curated; subjective columns intentionally blank,2026-09-16
AlmaLinux,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,,0,0,1,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,rhel,fixed,dnf,GNOME,systemd,https://almalinux.org/,curated; subjective columns intentionally blank,2026-09-16
Void Linux,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,independent,rolling,xbps,none,runit,https://voidlinux.org/,curated; subjective columns intentionally blank,2026-09-16
Alpine Linux,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,,1,0,1,0,0,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,independent,fixed,apk,none,openrc,https://alpinelinux.org/,curated; subjective columns intentionally blank,2026-09-16
NixOS,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,,0,0,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,independent,fixed,nix,none,systemd,https://nixos.org/,curated; subjective columns intentionally blank,2026-09-16
Solus,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,independent,rolling,eopkg,Budgie,systemd,https://getsol.us/,curated; subjective columns intentionally blank,2026-09-16
Deepin,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,debian,fixed,apt,DDE,systemd,https://www.deepin.org/,curated; subjective columns intentionally blank,2026-09-16
KDE neon,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,,0,0,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,ubuntu,continuous,apt,KDE Plasma,systemd,https://neon.kde.org/,curated; subjective columns intentionally blank,2026-09-16
Kubuntu,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,,0,0,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,ubuntu,fixed,apt,KDE Plasma,systemd,https://kubuntu.org/,curated; subjective columns intentionally blank,2026-09-16
Xubuntu,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,,0,0,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,0,0,0,1,0,0,0,ubuntu,fixed,apt,Xfce,systemd,https://xubuntu.org/,curated; subjective columns intentionally blank,2026-09-16
Lubuntu,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,,0,0,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,ubuntu,fixed,apt,LXQt,systemd,https://lubuntu.me/,curated; subjective columns intentionally blank,2026-09-16
Ubuntu MATE,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,0,0,0,0,1,0,0,ubuntu,fixed,apt,MATE,systemd,https://ubuntu-mate.org/,curated; subjective columns intentionally blank,2026-09-16
Peppermint OS,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,,0,0,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,debian,fixed,apt,Xfce,systemd,https://peppermintos.com/,curated; subjective columns intentionally blank,2026-09-16
antiX,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,,0,0,0,0,0,,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,debian,fixed,apt,IceWM,sysvinit,https://antixlinux.com/,curated; subjective columns intentionally blank,2026-09-16
Puppy Linux,,,,,,,,,,,0,0,0,0,1,,0,0,0,0,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,mixed,varies,varies,JWM,varies,https://puppylinux-woof-ce.github.io/,curated; subjective columns intentionally blank,2026-09-16
Tails,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,,1,0,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,debian,fixed,apt,GNOME,systemd,https://tails.net/,curated; subjective columns intentionally blank,2026-09-16
Qubes OS,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,,1,0,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,independent,fixed,dnf,Xfce,systemd,https://www.qubes-os.org/,curated; subjective columns intentionally blank,2026-09-16
PCLinuxOS,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,,0,0,0,0,0,,0,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,independent,rolling,apt-rpm,KDE Plasma,sysvinit,https://www.pclinuxos.com/,curated; subjective columns intentionally blank,2026-09-16
Mageia,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,,0,0,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,mandriva,fixed,dnf,KDE Plasma,systemd,https://www.mageia.org/,curated; subjective columns intentionally blank,2026-09-16
Clear Linux,,,0,0,0,1,1,0,0,0,1,0,0,0,0,,0,0,0,0,1,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,independent,discontinued,swupd,GNOME,systemd,https://www.clearlinux.org/,curated; subjective columns intentionally blank,2026-09-16
Bodhi Linux,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,,0,0,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,ubuntu,fixed,apt,Moksha,systemd,https://www.bodhilinux.com/,curated; subjective columns intentionally blank,2026-09-16
ArcoLinux,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,,0,0,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,arch,rolling,pacman,Xfce,systemd,https://arcolinux.com/,curated; subjective columns intentionally blank,2026-09-16
Artix Linux,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,,0,0,0,0,0,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,arch,rolling,pacman,none,openrc,https://artixlinux.org/,curated; subjective columns intentionally blank,2026-09-16
Chimera Linux,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,,1,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,independent,rolling,apk,none,dinit,https://chimera-linux.org/,curated; subjective columns intentionally blank,2026-09-16
Devuan,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,,0,0,0,0,0,,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,debian,fixed,apt,Xfce,sysvinit,https://www.devuan.org/,curated; subjective columns intentionally blank,2026-09-16
Fedora Silverblue,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,,0,0,0,1,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,fedora,fixed,rpm-ostree,GNOME,systemd,https://fedoraproject.org/atomic-desktops/silverblue/,curated; subjective columns intentionally blank,2026-09-16
SteamOS,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,,0,1,0,1,1,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,arch,fixed,pacman,KDE Plasma,systemd,https://store.steampowered.com/steamos,curated; subjective columns intentionally blank,2026-09-16
Feren OS,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,,0,0,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,0,0,0,0,0,0,1,ubuntu,fixed,apt,KDE Plasma,systemd,https://ferenos.weebly.com/,curated; subjective columns intentionally blank,2026-09-16
Nitrux,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,,0,0,0,1,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,debian,fixed,apt,NX Desktop,systemd,https://nxos.org/,curated; subjective columns intentionally blank,2026-09-16
Linux Lite,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,,0,0,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,ubuntu,fixed,apt,Xfce,systemd,https://www.linuxliteos.com/,curated; subjective columns intentionally blank,2026-09-16
Sparky Linux,,,1,0,0,0,1,1,0,0,0,0,0,0,1,,0,0,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,debian,mixed,apt,LXQt,systemd,https://sparkylinux.org/,curated; subjective columns intentionally blank,2026-09-16
Q4OS,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,,0,0,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,debian,fixed,apt,Trinity,systemd,https://q4os.org/,curated; subjective columns intentionally blank,2026-09-16
Vanilla OS,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,,0,0,0,1,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,debian,fixed,apx,GNOME,systemd,https://vanillaos.org/,curated; subjective columns intentionally blank,2026-09-16
Bazzite,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,,0,1,0,1,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,fedora,fixed,rpm-ostree,KDE Plasma,systemd,https://bazzite.gg/,curated; subjective columns intentionally blank,2026-09-16
Nobara Linux,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,,0,1,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,fedora,fixed,dnf,KDE Plasma,systemd,https://nobaraproject.org/,curated; subjective columns intentionally blank,2026-09-16
CachyOS,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,,0,1,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,arch,rolling,pacman,KDE Plasma,systemd,https://cachyos.org/,curated; subjective columns intentionally blank,2026-09-16
Fedora KDE Plasma Desktop,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,,0,0,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,fedora,fixed,dnf,KDE Plasma,systemd,https://fedoraproject.org/kde/,curated; subjective columns intentionally blank,2026-09-16
Fedora Kinoite,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,,0,0,0,1,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,fedora,fixed,rpm-ostree,KDE Plasma,systemd,https://fedoraproject.org/atomic-desktops/kinoite/,curated; subjective columns intentionally blank,2026-09-16
Fedora Sway Atomic,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,,0,0,0,1,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,fedora,fixed,rpm-ostree,Sway,systemd,https://fedoraproject.org/atomic-desktops/sway/,curated; subjective columns intentionally blank,2026-09-16
Fedora CoreOS,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,,0,0,1,1,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,fedora,continuous,rpm-ostree,none,systemd,https://fedoraproject.org/coreos/,curated; subjective columns intentionally blank,2026-09-16
Fedora Server,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,,0,0,1,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,fedora,fixed,dnf,none,systemd,https://fedoraproject.org/server/,curated; subjective columns intentionally blank,2026-09-16
Fedora Xfce Spin,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,,0,0,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,fedora,fixed,dnf,Xfce,systemd,https://fedoraproject.org/spins/xfce/,curated; subjective columns intentionally blank,2026-09-16
Fedora LXQt Spin,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,,0,0,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,fedora,fixed,dnf,LXQt,systemd,https://fedoraproject.org/spins/lxqt/,curated; subjective columns intentionally blank,2026-09-16
Ubuntu Server,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,,0,0,1,0,1,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,ubuntu,fixed,apt,none,systemd,https://ubuntu.com/server,curated; subjective columns intentionally blank,2026-09-16
Ubuntu Budgie,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,ubuntu,fixed,apt,Budgie,systemd,https://ubuntubudgie.org/,curated; subjective columns intentionally blank,2026-09-16
Ubuntu Cinnamon,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,0,,0,0,0,0,0,0,0,ubuntu,fixed,apt,Cinnamon,systemd,https://ubuntucinnamon.org/,curated; subjective columns intentionally blank,2026-09-16
Ubuntu Studio,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,,0,0,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,ubuntu,fixed,apt,KDE Plasma,systemd,https://ubuntustudio.org/,curated; subjective columns intentionally blank,2026-09-16
Ubuntu Unity,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,ubuntu,fixed,apt,Unity,systemd,https://ubuntuunity.org/,curated; subjective columns intentionally blank,2026-09-16
Ubuntu Kylin,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,ubuntu,fixed,apt,UKUI,systemd,https://www.ubuntukylin.com/,curated; subjective columns intentionally blank,2026-09-16
Edubuntu,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,,0,0,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,ubuntu,fixed,apt,GNOME,systemd,https://www.edubuntu.org/,curated; subjective columns intentionally blank,2026-09-16
Linux Mint Debian Edition,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,debian,fixed,apt,Cinnamon,systemd,https://linuxmint.com/download_lmde.php,curated; subjective columns intentionally blank,2026-09-16
Raspberry Pi OS,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,,0,0,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,debian,fixed,apt,PIXEL,systemd,https://www.raspberrypi.com/software/operating-systems/,curated; subjective columns intentionally blank,2026-09-16
DietPi,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,,0,0,1,0,0,,0,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,debian,fixed,apt,none,systemd,https://dietpi.com/,curated; subjective columns intentionally blank,2026-09-16
KDE Linux,,,0,0,0,1,1,0,0,0,0,1,0,0,0,,0,0,0,1,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,independent,development,systemd-sysext,KDE Plasma,systemd,https://kde.org/linux/,curated; subjective columns intentionally blank,2026-09-16
